latitude,longitude,cluster
-20.39876,-58.79576,115
-3.84793,-52.01925,1434
-20.39587,-58.80027,115
-20.39643,-58.80424,115
-4.36317,-55.19551,1474
-20.39475,-58.79234,115
-4.36376,-55.1992,1474
-20.39531,-58.7963,115
-4.37542,-55.27224,1439
-20.39298,-58.80478,115
-20.39242,-58.80081,115
-3.49253,-49.9141,1566
-20.39186,-58.79684,115
-3.30625,-48.80752,1259
-20.38841,-58.7974,115
-3.42354,-49.50328,-1
-20.38897,-58.80136,115
-3.49324,-49.91833,1566
-3.56709,-50.35957,-1
-20.38552,-58.8019,115
-20.38206,-58.80244,115
-3.83465,-51.97093,1433
-20.38318,-58.81038,115
-3.83516,-51.97399,1433
-20.37917,-58.80695,115
-3.85798,-52.11242,1435
-20.37973,-58.81093,115
-3.86539,-52.15742,1450
-20.37861,-58.80298,115
-20.38029,-58.8149,115
-20.37461,-58.79956,115
-4.35902,-55.19606,1474
-20.37628,-58.81147,115
-4.35962,-55.19978,1474
-20.37516,-58.80353,115
-4.40286,-55.47028,1399
-20.37572,-58.8075,115
-20.37227,-58.80804,115
-20.37171,-58.80407,115
-4.42808,-55.62834,1423
-20.37116,-58.80011,115
-20.36771,-58.80065,115
-4.42877,-55.63268,1423
-4.43373,-55.66385,1423
-20.36826,-58.80462,115
-3.86026,-52.15816,1450
-20.36882,-58.80859,115
-4.40836,-55.53066,1454
-3.29984,-48.80861,1259
-20.37327,-58.84038,114
-20.37383,-58.84436,114
-3.48728,-49.91943,1566
-20.36981,-58.84093,114
-20.37037,-58.84491,114
-3.63308,-50.78978,1429
-20.23287,-58.38569,108
-3.82946,-51.97176,1433
-20.22891,-58.38239,108
-20.22947,-58.38624,108
-3.86076,-52.16119,1450
-20.22606,-58.38679,108
-20.1928,-58.6703,120
-4.39197,-55.42816,1399
-20.18936,-58.67084,120
-20.19004,-58.67039,120
-4.40892,-55.53415,1454
-20.18661,-58.67094,120
-4.4156,-55.57593,1457
-20.18486,-58.68324,129
-20.1843,-58.67932,129
-4.41616,-55.57944,1457
-20.18143,-58.68378,129
-20.18198,-58.68769,129
-2.97288,-46.93416,-1
-20.17688,-58.67648,130
-20.17743,-58.6804,130
-20.174,-58.68095,130
-20.15073,-58.64062,-1
-4.35549,-55.22678,1453
-17.52261,-44.97239,-1
-4.35609,-55.2305,1453
-4.40435,-55.53141,1454
-4.42073,-55.63378,1423
-18.82581,-51.45964,-1
-3.48265,-49.96465,1565
-3.76507,-51.64866,1263
-20.63408,-64.1303,254
-4.40756,-55.57728,1456
-4.40813,-55.58079,1456
-19.1571,-54.36722,57
-20.54111,-64.37717,254
-19.15356,-54.36784,57
-17.99335,-48.42166,87
-17.99093,-48.42091,87
-17.99156,-48.4241,87
-3.57082,-50.52303,1444
-20.43672,-64.35434,254
-20.43152,-64.35049,254
-3.84024,-52.16427,1451
-20.43198,-64.35464,254
-3.56506,-50.5238,1444
-17.39502,-45.92131,123
-3.83975,-52.16129,1451
-4.12047,-53.86015,1162
-17.89429,-48.53131,87
-3.82658,-52.11389,1435
-3.82709,-52.11698,1435
-19.80958,-60.17123,185
-3.1349,-48.08147,978
-19.46624,-60.0455,185
-3.65089,-51.10041,-1
-3.13593,-48.0874,978
-19.46264,-60.04603,185
-3.51606,-50.30474,1539
-19.45905,-60.04657,185
-4.34081,-55.26652,1439
-18.16041,-52.29311,253
-3.8364,-52.23545,1413
-3.77475,-51.86815,1412
-18.15548,-52.28852,253
-18.15644,-52.29388,253
-3.83688,-52.23832,1413
-17.32693,-48.29172,89
-4.33669,-55.26711,1439
-3.25922,-48.87909,1239
-17.32724,-48.29337,89
-3.7695,-51.86887,1412
-19.6799,-63.17922,310
-4.37887,-55.55294,1454
-3.72859,-51.69083,1263
-19.57669,-62.78642,310
